,Outlet_ID,area(sqft),W_1_total_volume,W_2_total_volume,W_3_total_volume,W_4_total_volume,W_5_total_volume,W_6_total_volume,W_7_total_volume,W_8_total_volume,W_9_total_volume,W_10_total_volume,W_11_total_volume,W_12_total_volume,W_1_total_earning,W_2_total_earning,W_3_total_earning,W_4_total_earning,W_5_total_earning,W_6_total_earning,W_7_total_earning,W_8_total_earning,W_9_total_earning,W_10_total_earning,W_11_total_earning,W_12_total_earning,IP1_total_units,IP2_total_units,IP3_total_units,IP4_total_units,IP5_total_units,BP1_total_units,BP2_total_units,BP3_total_units,BP4_total_units,BP5_total_units,total_volume,total_earning
10,ID9528,5763,467.4,598.6,397.40000000000003,365.80000000000007,279.40000000000003,602.2,655.4000000000001,374.00000000000006,362.4,546.4000000000001,645.8000000000002,539.0,230530.0,304320.0,192430.0,183910.0,138470.0,302860.0,329320.0,175890.0,186900.0,273490.0,320780.0,265330.0,5089.0,7542.0,6275.0,5504.0,4759.0,0.0,0.0,0.0,0.0,0.0,5833.8,2904230.0
11,ID2152,3226,417.20000000000005,598.6000000000001,703.8000000000001,638.6,777.8000000000001,611.6,457.20000000000005,744.0,309.6,318.4,638.2,824.8000000000001,214190.0,292250.0,351380.0,326960.0,388490.0,313110.0,222440.0,368690.0,156700.0,159200.0,312310.0,410780.0,5877.0,7009.0,6669.0,6887.0,8757.0,0.0,0.0,0.0,0.0,0.0,7039.8,3516500.0
12,ID3656,4795,593.2,612.0,721.2,667.0,808.4,575.6,508.4000000000001,678.4000000000001,726.8,691.0,573.4000000000001,702.6,291270.0,303460.0,358160.0,338210.0,400730.0,293990.0,253820.0,339490.0,368880.0,341910.0,293220.0,343980.0,8230.0,7160.0,6972.0,8964.0,7964.0,0.0,0.0,0.0,0.0,0.0,7858.000000000002,3927120.0
13,ID4395,3719,548.8000000000001,408.40000000000003,599.6,889.8000000000001,486.20000000000005,554.4000000000001,613.4000000000001,491.20000000000005,461.20000000000005,538.0,558.0,504.6,274020.0,213970.0,294690.0,445130.0,237990.0,269360.0,311140.0,247140.0,225710.0,262830.0,274890.0,251530.0,7880.0,7433.0,5593.0,5931.0,6431.0,0.0,0.0,0.0,0.0,0.0,6653.6,3308400.0
14,ID7405,4797,672.2,624.0,373.4,784.2,608.2,237.60000000000002,517.0,891.8,454.8,449.80000000000007,615.4000000000001,537.6,334260.0,311520.0,179340.0,392310.0,311210.0,120760.0,255430.0,448650.0,224970.0,224920.0,314190.0,263560.0,6746.0,6489.0,6301.0,6846.0,7448.0,0.0,0.0,0.0,0.0,0.0,6766.0,3381120.0
15,ID9945,3050,499.2,567.2,518.8000000000001,642.6,811.8000000000001,1001.6,663.4,534.4000000000001,525.8,769.2,695.0000000000001,530.4,258930.0,275930.0,254520.0,329970.0,413650.0,500540.0,331750.0,267180.0,268730.0,385420.0,351210.0,264160.0,9708.0,5540.0,7769.0,7272.0,8508.0,0.0,0.0,0.0,0.0,0.0,7759.4,3901990.0
16,ID6950,5765,845.0,560.2,744.8000000000001,511.8,626.4000000000001,683.4,605.4,586.0,639.4000000000001,627.4000000000001,641.4,892.6000000000001,420280.0,282150.0,373700.0,252480.0,306230.0,336700.0,299850.0,285150.0,317320.0,306010.0,321710.0,439370.0,9453.0,9285.0,5190.0,8186.0,7705.0,0.0,0.0,0.0,0.0,0.0,7963.799999999999,3940950.0
17,ID5199,4126,466.20000000000005,781.8,457.2,661.4,746.2,577.6,364.0,596.8000000000001,685.2,510.6,326.2,377.6,237240.0,382280.0,230430.0,329800.0,367560.0,293010.0,185370.0,292820.0,348920.0,249640.0,151170.0,179790.0,5234.0,8480.0,5743.0,6411.0,6886.0,0.0,0.0,0.0,0.0,0.0,6550.8,3248030.0
18,ID5556,3439,851.0000000000001,584.8,551.4000000000001,646.8000000000001,717.1999999999999,607.8,339.0,469.20000000000005,635.4,826.6,694.8,604.0,421040.0,294820.0,276610.0,329370.0,358670.0,299390.0,170490.0,233220.0,314690.0,413010.0,354110.0,305670.0,10480.0,6570.0,7279.0,7086.0,6225.0,0.0,0.0,0.0,0.0,0.0,7528.0,3771090.0
19,ID8920,4936,773.2,581.0,489.4,790.6,597.6,731.8000000000001,765.8,826.0000000000001,627.8000000000001,612.4,401.6,415.6,390870.0,288910.0,252250.0,386250.0,295520.0,361920.0,384910.0,412650.0,311730.0,317470.0,206030.0,211360.0,8254.0,6428.0,7775.0,9036.0,6571.0,0.0,0.0,0.0,0.0,0.0,7612.8,3819870.0
20,ID6352,4223,554.2,794.0,738.0,511.40000000000003,652.8,284.0,494.0,556.6,680.2,459.0,747.8000000000001,318.6,279180.0,403900.0,366700.0,253470.0,326840.0,140560.0,253010.0,279040.0,338940.0,239750.0,374480.0,159910.0,8204.0,5567.0,7615.0,5758.0,6809.0,0.0,0.0,0.0,0.0,0.0,6790.6,3415780.0
21,ID2508,4266,497.0000000000001,475.79999999999995,391.2,808.6000000000001,388.80000000000007,473.80000000000007,350.6,591.4,583.8,651.4000000000001,763.2,603.6,241250.0,235310.0,193620.0,403570.0,194670.0,234140.0,176980.0,301530.0,286960.0,326000.0,375420.0,306250.0,6940.0,6754.0,5364.0,8203.0,5635.0,0.0,0.0,0.0,0.0,0.0,6579.200000000002,3275700.0
22,ID5561,4393,467.20000000000005,502.40000000000003,574.6,259.8,349.8,336.40000000000003,647.4000000000001,672.2,598.6000000000001,749.8000000000001,562.0000000000001,267.6,227200.0,251820.0,296200.0,128070.0,176340.0,169290.0,328100.0,328610.0,296680.0,381600.0,278790.0,129730.0,6650.0,5089.0,4942.0,7499.0,5759.0,0.0,0.0,0.0,0.0,0.0,5987.800000000001,2992430.0
23,ID6952,5690,541.6,328.0,258.00000000000006,446.8,495.20000000000005,360.6,522.2,673.0000000000001,621.2,480.6,713.6000000000001,769.8,267420.0,167100.0,128900.0,225000.0,244100.0,182890.0,258040.0,342540.0,306390.0,242190.0,347950.0,395740.0,5942.0,5165.0,5461.0,8316.0,6169.0,0.0,0.0,0.0,0.0,0.0,6210.600000000001,3108260.0
24,ID5295,4459,764.2,887.4000000000001,338.8,473.20000000000005,565.2,412.8,635.0,714.8000000000001,560.0,620.0,429.20000000000005,571.4000000000001,381040.0,446010.0,169590.0,234620.0,272010.0,206400.0,313070.0,355600.0,287500.0,311410.0,211970.0,282360.0,6572.0,7180.0,5738.0,6723.0,8647.0,0.0,0.0,0.0,0.0,0.0,6972.0,3471580.0
25,ID8493,3964,515.0,463.80000000000007,717.8000000000001,674.6000000000001,818.2,926.5999999999999,564.0,933.8000000000001,593.6000000000001,331.40000000000003,484.40000000000003,718.6000000000001,255140.0,224430.0,361170.0,334040.0,400610.0,465930.0,280610.0,463450.0,288660.0,155790.0,244040.0,356710.0,5760.0,9960.0,5928.0,9084.0,7977.0,0.0,0.0,0.0,0.0,0.0,7741.8,3830580.0
26,ID6166,3639,366.40000000000003,414.59999999999997,367.0,520.8000000000001,766.0,410.80000000000007,360.6,854.4,702.2,578.0,620.0,612.0000000000001,179440.0,210400.0,190410.0,264430.0,387820.0,208220.0,176210.0,423210.0,351950.0,281980.0,300130.0,303140.0,5838.0,7549.0,6643.0,6665.0,6169.0,0.0,0.0,0.0,0.0,0.0,6572.8,3277340.0
27,ID2979,4136,768.4000000000001,349.40000000000003,606.6000000000001,589.0000000000001,418.59999999999997,582.0,613.2,500.40000000000003,773.8000000000001,509.0,424.20000000000005,409.2,390320.0,174600.0,311610.0,284840.0,206190.0,288240.0,315160.0,256050.0,386940.0,255830.0,204950.0,195350.0,3808.0,7222.0,7040.0,8575.0,6074.0,0.0,0.0,0.0,0.0,0.0,6543.8,3270080.0
28,ID9941,4967,691.0,725.0,843.4000000000001,547.6,510.80000000000007,332.6,596.6,662.2,500.2,890.6,669.2,666.2,349050.0,370050.0,423670.0,267900.0,262740.0,170730.0,301160.0,337050.0,253420.0,445920.0,328070.0,333530.0,9419.0,6893.0,9452.0,6970.0,5443.0,0.0,0.0,0.0,0.0,0.0,7635.4,3843290.0
29,ID1110,4051,622.8000000000001,668.8,572.8000000000001,662.6000000000001,587.0,294.6,552.6,594.4,454.4000000000001,607.0,365.6,616.8000000000001,319070.0,330040.0,290260.0,328610.0,300060.0,148260.0,280120.0,301030.0,226620.0,298100.0,183700.0,314190.0,6707.0,5032.0,7068.0,7667.0,6523.0,0.0,0.0,0.0,0.0,0.0,6599.400000000001,3320060.0
30,ID7864,4359,398.20000000000005,449.40000000000003,591.2,469.00000000000006,482.4,608.6,702.4000000000001,589.2,725.8,662.6,468.80000000000007,754.4000000000001,202690.0,224810.0,293820.0,226700.0,245620.0,302350.0,353770.0,301590.0,368900.0,330710.0,242680.0,371650.0,6377.0,6679.0,8108.0,5504.0,7842.0,0.0,0.0,0.0,0.0,0.0,6902.000000000002,3465290.0
31,ID1734,4648,441.6,516.2,670.0,552.8000000000001,550.2,210.8,672.2,216.8,618.8,503.6,720.8,843.0000000000001,216430.0,257190.0,333040.0,280960.0,267080.0,105400.0,329330.0,109230.0,308220.0,253270.0,358380.0,420480.0,6801.0,7262.0,5323.0,4996.0,8202.0,0.0,0.0,0.0,0.0,0.0,6516.800000000001,3239010.0
32,ID8228,5406,595.6000000000001,690.6000000000001,560.4,596.4,769.3999999999999,672.0,527.2,943.0,738.8000000000001,509.4,497.4000000000001,360.40000000000003,301720.0,356580.0,272270.0,303370.0,389000.0,330320.0,273390.0,473040.0,369530.0,252870.0,246970.0,183920.0,5463.0,7417.0,9685.0,7982.0,6756.0,0.0,0.0,0.0,0.0,0.0,7460.6,3752980.0
33,ID3807,5632,640.4000000000001,341.6,545.8000000000001,825.0,535.6,448.4000000000001,435.6,542.0,799.4000000000001,447.6,592.0,661.0000000000001,318690.0,168350.0,281190.0,417710.0,270300.0,215120.0,215510.0,272190.0,399660.0,215710.0,305790.0,323160.0,6065.0,6937.0,6555.0,9929.0,4586.0,0.0,0.0,0.0,0.0,0.0,6814.4,3403380.0
34,ID5879,4879,407.8,693.2,435.6,428.8,716.2,789.8000000000001,817.6,515.0,540.2,687.0,521.0,777.4000000000001,202580.0,348370.0,224560.0,212700.0,351180.0,389060.0,409460.0,257110.0,272930.0,345860.0,255990.0,389760.0,8153.0,7838.0,7314.0,7131.0,6212.0,0.0,0.0,0.0,0.0,0.0,7329.6,3659560.0
35,ID2673,5685,910.6000000000001,475.20000000000005,594.4000000000001,486.20000000000005,703.0,464.0,556.4,668.0,632.0000000000001,596.2,556.2,386.00000000000006,458870.0,231060.0,297570.0,247130.0,353140.0,239920.0,276440.0,332730.0,315770.0,299990.0,276610.0,193040.0,7992.0,5872.0,6689.0,6617.0,7971.0,0.0,0.0,0.0,0.0,0.0,7028.2,3522270.0
36,ID6055,4779,1063.8,879.5999999999999,1208.6000000000001,891.0,1102.4,744.2,1027.6,1486.9999999999998,1347.8,1016.2,983.8000000000001,1237.6,526640.0,441510.0,610190.0,447630.0,552780.0,371570.0,497090.0,744110.0,678840.0,510100.0,486130.0,621880.0,12513.0,16119.0,15486.0,12001.0,8829.0,0.0,0.0,0.0,0.0,0.0,12989.599999999999,6488470.0
37,ID3715,4303,629.2,449.0,369.40000000000003,774.8000000000001,379.20000000000005,446.40000000000003,536.8000000000001,237.60000000000002,580.6000000000001,506.6,465.40000000000003,586.0,307600.0,222220.0,178180.0,384810.0,191750.0,226660.0,263580.0,116950.0,283520.0,251850.0,234500.0,299200.0,5436.0,7714.0,5746.0,4049.0,6860.0,0.0,0.0,0.0,0.0,0.0,5961.000000000001,2960820.0
38,ID9780,3544,442.6,655.6,758.8000000000001,335.20000000000005,583.0,679.4000000000001,637.8000000000001,737.2,547.8,717.4000000000001,697.0,800.0,212840.0,331490.0,374230.0,164750.0,300920.0,345770.0,317600.0,363050.0,280170.0,363410.0,357190.0,409570.0,9924.0,5457.0,7966.0,7365.0,7247.0,0.0,0.0,0.0,0.0,0.0,7591.800000000001,3820990.0
39,ID6863,3606,636.2,407.8,310.8,681.2,700.4,953.4,517.4000000000001,746.8,646.4000000000001,606.6,590.6,803.8,315440.0,206470.0,151430.0,334200.0,350550.0,474510.0,252040.0,371130.0,328150.0,296450.0,302420.0,398600.0,6494.0,9090.0,7159.0,7392.0,7872.0,0.0,0.0,0.0,0.0,0.0,7601.400000000002,3781390.0
40,ID5591,3886,715.4000000000001,173.60000000000002,579.6,435.80000000000007,826.4,531.4,782.4000000000001,543.4,457.80000000000007,494.6000000000001,492.4000000000001,623.0,357930.0,87810.0,296090.0,217800.0,422810.0,254130.0,391470.0,279820.0,226520.0,254870.0,252600.0,301040.0,6101.0,6255.0,7754.0,6801.0,6368.0,0.0,0.0,0.0,0.0,0.0,6655.800000000001,3342890.0
41,ID9919,3210,526.0,472.00000000000006,546.6,744.8,688.4000000000001,436.0,655.0,779.4000000000001,720.0,717.2,655.4000000000001,578.4000000000001,263180.0,235650.0,266280.0,375580.0,344410.0,225920.0,337050.0,390210.0,362800.0,357490.0,320990.0,291480.0,7160.0,7628.0,8772.0,6238.0,7798.0,0.0,0.0,0.0,0.0,0.0,7519.199999999999,3771040.0
42,ID4975,4832,725.6,645.2,497.20000000000005,466.4000000000001,581.4000000000001,805.0,531.6,645.4000000000001,584.8000000000001,706.6,575.2,607.6000000000001,356590.0,319220.0,253320.0,231960.0,300520.0,397180.0,269880.0,318770.0,294880.0,357220.0,290460.0,310590.0,6819.0,6632.0,8091.0,7997.0,7321.0,0.0,0.0,0.0,0.0,0.0,7372.000000000002,3700590.0
43,ID7416,3642,448.00000000000006,782.2,565.6,665.8000000000001,506.20000000000005,717.1999999999999,820.2,546.8000000000001,386.20000000000005,582.6,534.8000000000001,684.6,231390.0,396210.0,277040.0,333420.0,245600.0,367200.0,408600.0,267530.0,191340.0,290190.0,277120.0,341460.0,8426.0,6699.0,7399.0,7367.0,6310.0,0.0,0.0,0.0,0.0,0.0,7240.200000000001,3627100.0
44,ID6026,4395,495.20000000000005,556.0,607.0,941.0,755.8000000000001,398.20000000000005,555.0,618.0000000000001,602.2,836.5999999999999,591.8000000000001,376.20000000000005,257750.0,272370.0,306010.0,470810.0,377100.0,207560.0,275130.0,305840.0,294840.0,419900.0,293140.0,184780.0,6045.0,7938.0,7811.0,9229.0,5642.0,0.0,0.0,0.0,0.0,0.0,7333.0,3665230.0
45,ID7321,5905,716.0,673.2,579.2,692.0,276.6,525.4000000000001,502.20000000000005,767.4000000000001,680.2,510.40000000000003,594.6,374.4,359960.0,330230.0,285170.0,347810.0,138600.0,261210.0,251530.0,380030.0,342640.0,244190.0,306680.0,183410.0,7366.0,5980.0,4546.0,7611.0,8955.0,0.0,0.0,0.0,0.0,0.0,6891.599999999999,3431460.0
46,ID3582,5368,812.6000000000001,631.4000000000001,604.8000000000001,724.4000000000001,551.8000000000001,415.8,706.4000000000001,788.2,440.0,961.4000000000001,517.4,787.8,403850.0,321790.0,298430.0,361130.0,282330.0,202430.0,341310.0,391350.0,210770.0,481600.0,270490.0,393010.0,8536.0,8718.0,7467.0,6998.0,7991.0,0.0,0.0,0.0,0.0,0.0,7942.000000000001,3958490.0
47,ID4625,3445,411.6,731.0,688.8000000000001,507.99999999999994,738.2000000000002,774.6,654.2,593.2,624.4,633.0,694.0,698.2,209120.0,363650.0,341910.0,257080.0,367830.0,386150.0,318390.0,295370.0,316300.0,314910.0,350710.0,349180.0,7199.0,10411.0,10011.0,5689.0,5436.0,0.0,0.0,0.0,0.0,0.0,7749.2,3870600.0
48,ID3447,5947,609.2,957.6000000000001,538.4000000000001,567.8000000000001,707.2,567.4,518.4000000000001,497.2000000000001,408.20000000000005,512.2,679.4,800.0,310870.0,470240.0,263410.0,275530.0,352320.0,276820.0,261840.0,252380.0,204980.0,246350.0,343280.0,401400.0,10188.0,7370.0,5162.0,6931.0,7164.0,0.0,0.0,0.0,0.0,0.0,7363.0,3659420.0
49,ID4092,4738,616.4,694.6,561.0,259.20000000000005,546.2,567.0,716.4000000000001,593.0,751.8,412.0,809.2,426.0,310660.0,347430.0,286610.0,140030.0,269150.0,280460.0,358930.0,292700.0,387690.0,197840.0,398910.0,205950.0,8416.0,6743.0,6739.0,6646.0,6220.0,0.0,0.0,0.0,0.0,0.0,6952.799999999999,3476360.0
50,ID6025,5479,676.0,419.00000000000006,394.6,684.8,640.8000000000001,438.40000000000003,578.1999999999999,726.6,748.0,486.20000000000005,426.00000000000006,828.0,346990.0,212790.0,206060.0,343190.0,312750.0,222070.0,286840.0,366160.0,375740.0,238740.0,204640.0,416630.0,6770.0,7527.0,8457.0,6704.0,5775.0,0.0,0.0,0.0,0.0,0.0,7046.599999999999,3532600.0
51,ID9440,4859,1209.2000000000003,1116.8000000000002,1083.2,1149.0000000000002,849.4000000000001,1369.8000000000002,1434.0,1598.1999999999998,919.4000000000001,1303.8000000000002,1132.8,960.2,598150.0,556960.0,546990.0,557460.0,422930.0,686090.0,723020.0,789610.0,475680.0,660170.0,559000.0,472840.0,16076.0,13364.0,11964.0,15496.0,13729.0,0.0,0.0,0.0,0.0,0.0,14125.800000000003,7048900.0
52,ID8194,4995,634.8,369.20000000000005,374.6,680.6,581.8000000000001,282.4,659.8000000000001,498.40000000000003,595.2,235.4,832.5999999999999,526.0,316090.0,194910.0,193250.0,336980.0,291080.0,140190.0,327830.0,248220.0,297160.0,117700.0,420830.0,259130.0,5892.0,5537.0,6334.0,7937.0,5654.0,0.0,0.0,0.0,0.0,0.0,6270.799999999999,3143370.0
53,ID2846,3043,903.6,614.5999999999999,675.8,479.8,441.6000000000001,839.4000000000001,446.80000000000007,613.0,538.0,766.2,696.0000000000001,533.8,451820.0,317340.0,330500.0,228870.0,227190.0,420930.0,219210.0,299360.0,266220.0,387300.0,354520.0,262650.0,9394.0,7434.0,6595.0,8096.0,6224.0,0.0,0.0,0.0,0.0,0.0,7548.6,3765910.0
54,ID4192,4090,428.4,460.8,513.6,445.0,636.4000000000001,770.0,712.2000000000002,628.8,792.4,846.4000000000001,625.2,397.8,214430.0,228130.0,259590.0,225250.0,315360.0,379920.0,348790.0,310790.0,405920.0,416360.0,317450.0,202000.0,6440.0,7420.0,6969.0,7938.0,7518.0,0.0,0.0,0.0,0.0,0.0,7257.0,3623990.0
55,ID8119,3905,458.0,556.4000000000001,360.4,736.8000000000001,523.8,578.2,597.0,755.0000000000001,356.0,666.6000000000001,822.6,663.0,233630.0,270750.0,171200.0,374630.0,271710.0,285320.0,300260.0,383930.0,176460.0,326370.0,410870.0,328660.0,5515.0,8234.0,7923.0,7489.0,6208.0,0.0,0.0,0.0,0.0,0.0,7073.800000000001,3533790.0
56,ID9823,4843,207.8,742.4,622.0,460.4,351.4,341.0,542.4000000000001,407.20000000000005,483.6,491.0,654.4000000000001,800.4000000000001,107290.0,374660.0,312590.0,223480.0,173310.0,168600.0,269930.0,201530.0,250280.0,251130.0,328790.0,400830.0,6037.0,5915.0,6957.0,5241.0,6370.0,0.0,0.0,0.0,0.0,0.0,6104.0,3062420.0
57,ID8893,3301,378.0,466.8,392.2,456.20000000000005,671.4,612.6,330.0,602.4000000000001,373.4,530.4000000000001,665.4000000000001,571.2,191610.0,229440.0,194330.0,225580.0,328100.0,310210.0,161160.0,294110.0,175650.0,270230.0,329430.0,286690.0,5437.0,7179.0,4333.0,5731.0,7570.0,0.0,0.0,0.0,0.0,0.0,6049.999999999999,2996540.0
58,ID5021,3470,789.0000000000001,608.2,687.6,489.6,573.2,624.4000000000001,482.6,460.00000000000006,585.0,681.8000000000001,515.2,415.2000000000001,400930.0,298770.0,344810.0,241030.0,291210.0,313590.0,251050.0,235990.0,282400.0,343710.0,258220.0,200530.0,6972.0,6947.0,7581.0,6378.0,6681.0,0.0,0.0,0.0,0.0,0.0,6911.8,3462240.0
59,ID8735,3933,646.6,861.0,627.6,914.0000000000001,749.4,778.4,724.0,638.4000000000001,643.0,561.6000000000001,490.40000000000003,610.0,330950.0,429510.0,309030.0,460090.0,369870.0,390020.0,372270.0,321190.0,315060.0,281760.0,248390.0,299060.0,7660.0,7838.0,8338.0,8669.0,8717.0,0.0,0.0,0.0,0.0,0.0,8244.4,4127200.0
60,ID7332,4799,686.2,706.2,733.6,498.00000000000006,594.2,859.4000000000001,621.4,565.8000000000001,701.0000000000001,281.2,662.6000000000001,639.2,350390.0,356740.0,362730.0,249260.0,306190.0,421320.0,300580.0,278810.0,351310.0,145880.0,329390.0,312860.0,7796.0,7752.0,6858.0,9213.0,6125.0,0.0,0.0,0.0,0.0,0.0,7548.8,3765460.0
61,ID6292,4278,913.6000000000001,473.8,480.8,642.2,436.6,299.6,668.4000000000001,695.0,401.40000000000003,518.8000000000001,874.8000000000001,530.4,456000.0,232570.0,241480.0,323110.0,220930.0,145660.0,326840.0,347580.0,205890.0,254340.0,445310.0,263830.0,6412.0,7912.0,7496.0,6345.0,6512.0,0.0,0.0,0.0,0.0,0.0,6935.4,3463540.0
62,ID7462,5121,580.4000000000001,737.4000000000001,635.0,530.8000000000001,701.8000000000001,645.0,573.6000000000001,538.0,851.8000000000001,869.4000000000001,703.8000000000001,589.4000000000001,294870.0,374940.0,321810.0,272370.0,351130.0,329000.0,285310.0,275920.0,423720.0,435320.0,359780.0,292450.0,8535.0,6715.0,10557.0,7270.0,6705.0,0.0,0.0,0.0,0.0,0.0,7956.4000000000015,4016620.0
63,ID5250,5033,471.4,580.4,579.8,501.6,573.2,752.0,566.2,356.6,445.0,644.0,561.0000000000001,496.4,236070.0,282110.0,295020.0,249210.0,287380.0,369400.0,283700.0,176940.0,223650.0,313460.0,277210.0,245990.0,6221.0,7378.0,5012.0,7052.0,6975.0,0.0,0.0,0.0,0.0,0.0,6527.599999999999,3240140.0
64,ID1997,4496,712.8,648.2,778.4000000000001,670.0,278.8,877.2,540.4,505.80000000000007,397.4,331.40000000000003,851.0,576.4000000000001,357440.0,319260.0,385220.0,337160.0,147240.0,436410.0,272200.0,256600.0,203940.0,164480.0,426100.0,291170.0,6799.0,6239.0,7571.0,7829.0,7401.0,0.0,0.0,0.0,0.0,0.0,7167.799999999999,3597220.0
65,ID3097,3627,643.6,382.20000000000005,645.2,428.00000000000006,568.0,846.4000000000001,653.2,716.6,602.8,601.2,656.8000000000001,863.6000000000001,327790.0,188640.0,328210.0,218480.0,286640.0,417680.0,332840.0,358100.0,299610.0,305010.0,328250.0,428130.0,6624.0,7351.0,8909.0,7883.0,7271.0,0.0,0.0,0.0,0.0,0.0,7607.600000000001,3819380.0
66,ID2499,5676,654.0,817.2,514.2,497.40000000000003,820.2000000000002,376.0,419.6,631.0,524.0000000000001,808.1999999999999,707.1999999999999,649.4,328270.0,400330.0,262540.0,243880.0,413820.0,188820.0,214140.0,323440.0,266290.0,403700.0,352620.0,326340.0,6116.0,7130.0,8629.0,6596.0,8621.0,0.0,0.0,0.0,0.0,0.0,7418.4,3724190.0
67,ID1234,3999,602.0,574.6,579.2,571.2,692.0,472.20000000000005,735.8,527.2,534.4,630.0000000000001,369.4,581.1999999999999,304950.0,295210.0,287800.0,279750.0,345690.0,241570.0,367640.0,265740.0,272150.0,315790.0,186520.0,292110.0,7873.0,5365.0,7397.0,7175.0,6536.0,0.0,0.0,0.0,0.0,0.0,6869.199999999999,3454920.0
